engine,period,weeks,profile,relapsed,final
Fixed taper (traditional) @7d,7,14,Marta,True,
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,True,
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,True,
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,True,
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Marta,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,True,
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,True,
Fixed taper (traditional) @7d,7,14,Diego,True,
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Diego,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Lucía,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,True,
Fixed taper (traditional) @7d,7,14,Karim,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Fixed taper (traditional) @7d,7,14,Ana,False,3.795812342461587
Wane adaptive engine @7d,7,14,Marta,False,3.6462365279722704
Wane adaptive engine @7d,7,14,Marta,False,3.65142919200826
Wane adaptive engine @7d,7,14,Marta,False,4.303271464999713
Wane adaptive engine @7d,7,14,Marta,False,3.641923932843361
Wane adaptive engine @7d,7,14,Marta,False,3.9677962470643826
Wane adaptive engine @7d,7,14,Marta,False,4.1114922160831116
Wane adaptive engine @7d,7,14,Marta,False,4.458448210962865
Wane adaptive engine @7d,7,14,Marta,False,4.725052457614421
Wane adaptive engine @7d,7,14,Marta,False,4.41325719587458
Wane adaptive engine @7d,7,14,Marta,False,4.639029930414471
Wane adaptive engine @7d,7,14,Marta,False,4.659359885651321
Wane adaptive engine @7d,7,14,Marta,False,3.935956590096115
Wane adaptive engine @7d,7,14,Marta,False,4.112595856403813
Wane adaptive engine @7d,7,14,Marta,False,3.926365851787733
Wane adaptive engine @7d,7,14,Marta,False,3.9037787924943776
Wane adaptive engine @7d,7,14,Marta,False,3.6120907191958915
Wane adaptive engine @7d,7,14,Marta,False,3.8855140523957887
Wane adaptive engine @7d,7,14,Marta,False,3.6955991047087484
Wane adaptive engine @7d,7,14,Marta,False,4.366715875469523
Wane adaptive engine @7d,7,14,Marta,False,3.836663358091218
Wane adaptive engine @7d,7,14,Marta,False,4.80484306967724
Wane adaptive engine @7d,7,14,Marta,False,3.303773044735171
Wane adaptive engine @7d,7,14,Marta,False,3.59126224806825
Wane adaptive engine @7d,7,14,Marta,False,4.1542567422762104
Wane adaptive engine @7d,7,14,Marta,False,3.410445607253713
Wane adaptive engine @7d,7,14,Marta,True,
Wane adaptive engine @7d,7,14,Marta,False,4.768589814672887
Wane adaptive engine @7d,7,14,Marta,False,4.399032897788724
Wane adaptive engine @7d,7,14,Marta,False,4.343294749822396
Wane adaptive engine @7d,7,14,Marta,False,4.372176290941243
Wane adaptive engine @7d,7,14,Diego,False,4.942488383728772
Wane adaptive engine @7d,7,14,Diego,False,4.542156887384992
Wane adaptive engine @7d,7,14,Diego,False,4.424074573826569
Wane adaptive engine @7d,7,14,Diego,False,4.736245028544421
Wane adaptive engine @7d,7,14,Diego,False,4.290565769703705
Wane adaptive engine @7d,7,14,Diego,False,3.9271698129888644
Wane adaptive engine @7d,7,14,Diego,True,
Wane adaptive engine @7d,7,14,Diego,False,4.413672958925099
Wane adaptive engine @7d,7,14,Diego,False,4.9417679368728
Wane adaptive engine @7d,7,14,Diego,False,6.748099425674339
Wane adaptive engine @7d,7,14,Diego,False,3.6202517466657316
Wane adaptive engine @7d,7,14,Diego,False,5.856432089822487
Wane adaptive engine @7d,7,14,Diego,False,4.104427791995204
Wane adaptive engine @7d,7,14,Diego,False,4.424221924195411
Wane adaptive engine @7d,7,14,Diego,False,3.7398786270098965
Wane adaptive engine @7d,7,14,Diego,False,3.434052626618202
Wane adaptive engine @7d,7,14,Diego,False,5.448478863106362
Wane adaptive engine @7d,7,14,Diego,False,5.5414068022584
Wane adaptive engine @7d,7,14,Diego,False,4.335369748675041
Wane adaptive engine @7d,7,14,Diego,False,5.2338389708259525
Wane adaptive engine @7d,7,14,Diego,False,4.685994946465341
Wane adaptive engine @7d,7,14,Diego,False,4.771772254965283
Wane adaptive engine @7d,7,14,Diego,False,5.782302591007758
Wane adaptive engine @7d,7,14,Diego,False,3.6040269524052198
Wane adaptive engine @7d,7,14,Diego,False,4.527609882500357
Wane adaptive engine @7d,7,14,Diego,True,
Wane adaptive engine @7d,7,14,Diego,False,5.442950298406598
Wane adaptive engine @7d,7,14,Diego,False,6.221007448847444
Wane adaptive engine @7d,7,14,Diego,False,4.0921817146686434
Wane adaptive engine @7d,7,14,Diego,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,6.2267906720295345
Wane adaptive engine @7d,7,14,Lucía,False,5.417913121112511
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,7.301258252100938
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,6.0657345688229
Wane adaptive engine @7d,7,14,Lucía,False,6.9420296706111255
Wane adaptive engine @7d,7,14,Lucía,False,7.108971348468016
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,6.31861220469099
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,7.566767882523584
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,6.781463694823455
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,6.412127971733272
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,7.0433987601121455
Wane adaptive engine @7d,7,14,Lucía,False,6.707051715706002
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,True,
Wane adaptive engine @7d,7,14,Lucía,False,5.9161874805719465
Wane adaptive engine @7d,7,14,Karim,False,7.060338696420255
Wane adaptive engine @7d,7,14,Karim,False,7.436158885043699
Wane adaptive engine @7d,7,14,Karim,False,5.72053815335409
Wane adaptive engine @7d,7,14,Karim,False,6.834712346554248
Wane adaptive engine @7d,7,14,Karim,False,7.831912011668709
Wane adaptive engine @7d,7,14,Karim,True,
Wane adaptive engine @7d,7,14,Karim,False,6.400741000185353
Wane adaptive engine @7d,7,14,Karim,True,
Wane adaptive engine @7d,7,14,Karim,False,6.572768553693181
Wane adaptive engine @7d,7,14,Karim,True,
Wane adaptive engine @7d,7,14,Karim,False,5.7703876766241295
Wane adaptive engine @7d,7,14,Karim,False,7.3210931813775915
Wane adaptive engine @7d,7,14,Karim,False,6.0396305532578145
Wane adaptive engine @7d,7,14,Karim,False,7.456574732996033
Wane adaptive engine @7d,7,14,Karim,True,
Wane adaptive engine @7d,7,14,Karim,False,6.201325427312565
Wane adaptive engine @7d,7,14,Karim,False,6.752582717639384
Wane adaptive engine @7d,7,14,Karim,False,6.733542878214875
Wane adaptive engine @7d,7,14,Karim,False,9.024234788964117
Wane adaptive engine @7d,7,14,Karim,False,5.450292105422137
Wane adaptive engine @7d,7,14,Karim,False,7.280001639316492
Wane adaptive engine @7d,7,14,Karim,True,
Wane adaptive engine @7d,7,14,Karim,False,6.743675898789683
Wane adaptive engine @7d,7,14,Karim,False,8.373169333936616
Wane adaptive engine @7d,7,14,Karim,False,5.7098078280976505
Wane adaptive engine @7d,7,14,Karim,False,6.909836724493857
Wane adaptive engine @7d,7,14,Karim,False,6.6074496777675265
Wane adaptive engine @7d,7,14,Karim,False,5.705272165204549
Wane adaptive engine @7d,7,14,Karim,False,6.238568493209873
Wane adaptive engine @7d,7,14,Karim,False,7.570670933882452
Wane adaptive engine @7d,7,14,Ana,False,3.0144426494940553
Wane adaptive engine @7d,7,14,Ana,False,2.8482409466570857
Wane adaptive engine @7d,7,14,Ana,False,2.7700283806161585
Wane adaptive engine @7d,7,14,Ana,False,2.78351760411553
Wane adaptive engine @7d,7,14,Ana,False,2.7700283806161585
Wane adaptive engine @7d,7,14,Ana,False,2.78351760411553
Wane adaptive engine @7d,7,14,Ana,False,3.0325048639641317
Wane adaptive engine @7d,7,14,Ana,False,3.014442649494055
Wane adaptive engine @7d,7,14,Ana,False,2.864586815120013
Wane adaptive engine @7d,7,14,Ana,False,2.7700283806161585
Wane adaptive engine @7d,7,14,Ana,False,3.280422883272942
Wane adaptive engine @7d,7,14,Ana,False,3.7918041081105813
Wane adaptive engine @7d,7,14,Ana,False,2.7700283806161585
Wane adaptive engine @7d,7,14,Ana,False,3.014442649494055
Wane adaptive engine @7d,7,14,Ana,False,3.0144426494940553
